  Age_range,lipstick finish  , Packaging Type , Favorite lipstick color family , Most used shade tone  , brand  use most
18–24,Matte,Liquid Lipstick,Brown,"Medium, Dark",nothing
18–24,Velvet,Lipstick Tube/Stick,Red,Medium,rom&nd
18–24,Matte,Lipstick Tube/Stick,"Red, Coral",Medium,"Revlon, Bella"
18–24,Tint,Liquid Lipstick,Pink,Light,"rom&nd, Chanel, Dior"
18–24,Matte,Lipstick Tube/Stick,Pink,Medium,"rom&nd, Revlon"
18–24,Tint,Lipstick Cream,Nude,Dark,"Maybelline, 3CE"
25–34,Tint,Liquid Lipstick,Nude,Medium,"MAC Cosmetics, BLACK ROUGE, rom&nd"
18–24,Tint,Liquid Lipstick,Nude,Light,rom&nd
25–34,Tint,Lipstick Palette,"Pink, Coral",Light,"3CE, rom&nd"
18–24,Tint,Lipstick Palette,Nude,Light,Novo
18–24,Matte,Lipstick Tube/Stick,Coral,Medium,rom&nd
18–24,Velvet,Lipstick Pencil,Red,Light,rom&nd
18–24,Tint,Lipstick Tube/Stick,Coral,Light,rom&nd
18–24,Tint,Lipstick Tube/Stick,Coral,Light,rom&nd
18–24,Velvet,Lipstick Cream,Brown,Medium,Go go tales
18–24,Tint,Lipstick Cream,Coral,Medium,rom&nd
18–24,Satin,Lipstick Tube/Stick,Coral,Medium,Revlon
35–44,Satin,Lipstick Tube/Stick,"Nude, Coral",Medium,"Chanel, Dior, Estee Lauder "
18–24,Velvet,Lipstick Tube/Stick,"Red, Coral",Medium,rom&nd
18–24,Matte,Liquid Lipstick,Pink,Medium,Maybelline
18–24,Tint,Liquid Lipstick,"Pink, Coral",Light,"3CE, rom&nd"
18–24,Velvet,Lipstick Cream,Red,Medium,NOVO
18–24,Velvet,Lipstick Cream,Nude,Light,Maybelline
18–24,Velvet,Liquid Lipstick,Pink,Medium,"Maybelline, 3CE, Dior"
18–24,Tint,Lipstick Cream,Brown,Dark,Novo
25–34,Matte,Liquid Lipstick,Red,Light,"Maybelline, "
Under 18,Tint,Liquid Lipstick,Nude,Medium,"3CE, Chanel"
35–44,Tint,Lipstick Tube/Stick,Coral,Medium,Revlon
18–24,Velvet,Lipstick Palette,Red,Light,BLACK ROUGE
18–24,Tint,Lipstick Cream,Red,Medium,BLACK ROUGE
